vol;isbn;reference;title;page;year
I.1;3-7643-1400-1;"Vollständige Anleitung zur Algebra.  Mit den Zusätzen von Joseph Louis Lagrange.  Herausgegeben von Heinrich Weber.  (In German, 1 contribution in French; 5 Ill., 1 plate)";E.387, E.388,   P.101, P.102, X.101, X.102;XCV, 651;1911
I.2;3-7643-1401-X;Commentationes arithmeticae.  Volumen primum.  Edidit Ferdinand Rudio.  (25 contributions in Latin, 1 in French);E.026, E.029, E.036, E.054, E.098, E.100, E.134, E.152, E.158,  E.164, E.167, E.175, E.191, E.228, E.241, E.242, E.243, E.244,  E.253, E.255, E.256, E.262, E.270, E.271, E.272, E.279,   P.103;XXXVII, 611;1915  [1978]
I.3;3-7643-1402-8;Commentationes arithmeticae.  Volumen secundum.   Edidit Ferdinand Rudio  (22 contributions in Latin, 1 in German and 3 in French);E.283, E.323, E.369, E.394, E.405, E.427, E.428, E.445, E.449,  E.451, E.452, E.454, E.461, E.466, E.467, E.474, E.498, E.515,  E.523, E.541, E.542, E.552, E.554, E.708a, A.09, A.31,   P.104;XXXVII, 543;1917  [1978]
I.4;3-7643-1403-6;"Commentationes arithmeticae.  Volumen tertium.   Edidit Rudolf Fueter  (In Latin; 2 Ill.)";E.556, E.557, E.558, E.559, E.560, E.564, E.566, E.586, E.591,  E.596, E.598, E.610, E.683, E.696, E.699, E.702, E.708, E.713,  E.715, E.716, E.718, E.719, E.725, E.732, E.739, E.744,   P.105;XXXIII, 431;1941
I.5;3-7643-1404-4;Commentationes arithmeticae.  Volumen quartum.   Edidit Rudolf Fueter  (18 contributions in Latin, 5 in French);E.748, E.753, E.754, E.755, E.758, E.763, E.764, E.769, E.772,  E.773, E.774, E.775, E.776, E.777, E.778, E.792, E.793, E.796,  E.797, E.798, E.799, E*1944, E*1944,  P.106, P.107, P.108, I.101;LVII, 374;1944
I.6;3-7643-1405-2;"Commentationes algebraicae   ad theoriam aequationum pertinentes.  Edidit Ferdinand Rudio, Adolf Krazer, Paul Stäckel  (21 contributions in Latin and 2 in French; 1 Ill.)";E.030, E.153, E.157, E.170, E.282, E.310, E.370, E.395, E.406,  E.407, E.450, E.532, E.540, E.631, E.632, E.643, E.644, E.711,  E.728, E.794, E.808, E.819d,   P.109, X.103;XXIX, 509;1921  [1973]
I.7;3-7643-1406-0;"Commentationes algebraicae   ad theoriam combinationum et probabilitatum pertinentes.  Edidit Louis Gustave du Pasquier  (9 contributions in Latin, 2 in German and 13 in French; 4 Ill.)";E.053, E.201, E.309, E.313, E.334, E.335, E.338, E.403, E.412,  E.473, E.476, E.488, E.530, E.599, E.600, E.628, E.738, E.795,  E.811, E.812, E.813, E*1923, E*1923,  P.110, X.104, X.105, I.102;LVIII, 580;1923
I.8;3-7643-1407-9;"Introductio in analysin infinitorum. Tomus primus.  Ediderunt Adolf Krazer et Ferdinand Rudio   (In Latin; 2 Ill.)";E.101,  P.111, I.103;XII, 392;1922  [1977]
I.9;3-7643-1408-7;"Introductio in analysin infinitorum. Tomus secundus.  Edidit Andreas Speiser  (In Latin; 146 Ill., 1 reproduction of the original frontispiece,  printed in black/red)";E.102,  P.112, P.113, I.104;LII, 403;1945
I.10;3-7643-1409-5;"Institutiones calculi differentialis.  Edidit Gerhard Kowalewski   (In Latin; 3 Ill.)";E.212;VI, 676;1913  [1980]
I.11;3-7643-1410-9;"Institutiones calculi integralis: Volumen primum.  Ediderunt Friedrich Engel et Ludwig Schlesinger   (In Latin; 5 Ill.)";E.342,  P.114;XV, 462;1913
I.12;3-7643-1411-7;"Institutiones calculi integralis: Volumen secundum.  Adiecta sunt Laurentii Mascheronii adnotationes ad calculum  integralem Euleri  Ediderunt Friedrich Engel et Ludwig Schlesinger  (In Latin; 8 Ill.)";E.366,  P.115, X.106, X.107;XV, 542;1914  [1971]
I.13;3-7643-1412-5;Institutiones calculi integralis. Volumen tertium.  Ediderunt Friedrich Engel et Ludwig Schlesinger  (In Latin);E.385,  P.116, I.105;XX, 508;1914  [1980]
I.14;3-7643-1413-3;Commentationes analyticae ad theoriam serierum  infinitarum pertinentes. Volumen primum.  Ediderunt Carl Boehm et Georg Faber  (21 contributions in Latin, 1 in French and 1 in German);E.019, E.020, E.025, E.041, E.043, E.046, E.047, E.055, E.061,  E.063, E.071, E.072, E.074, E.122, E.123, E.125, E.128, E.130,  E.189, E.190, E.246, E.247,  P.117;X, 617;1925
