Name;Time;LetterCount;Entries
Abbt, Thomas;1759;1;Corresponded with Euler in 1759. The Euler-Abbt correspondence consists of only one letter, written by Abbt.
Adami, Jacob;1746 - 1759;11;Corresponded with Euler from 1746 to 1759. The Euler-Adami correspondence consists of 11 letters, none of which were written by Euler.
Admiralty Office,;1765;1;Corresponded with Euler in 1765. The Euler-Admiralty Office correspondence consists of only one letter, written by Admiralty Office.
Aepinus, A.F.D.;1754;1;Corresponded with Euler in 1754. The Euler-Aepinus correspondence consists of only one letter, written by Aepinus.
Aepinus, Franz Ulrich Theodor;1754 - 1758;9;Corresponded with Euler from 1754 to 1758. The Euler-Aepinus correspondence consists of 9 letters, none of which were written by Euler.
d'Alembert, Jean le Rond;1746 - 1773;39;Corresponded with Euler from 1746 to 1773. The Euler-d'Alembert correspondence consists of 39 letters, of which 14 were written by Euler.
Argenson, Marc Antoine Rene de Voyer, Marquis de Paulmy d';1755;1;Corresponded with Euler in 1755. The Euler-d'Argenson correspondence consists of only one letter, written by d'Argenson.
Aubar, S.;1776;1;Corresponded with Euler in 1776. The Euler-Aubar correspondence consists of only one letter, written by Aubar.
Baermann, George Friedrich;1745 - 1754;8;Corresponded with Euler from 1745 to 1754. The Euler-Baermann correspondence consists of 8 letters, none of which were written by Euler.
Bailly, Jean Sylvain;1766;1;Corresponded with Euler in 1766. The Euler-Bailly correspondence consists of only one letter, written by Euler.
Barbut,;1749 - 1749;2;Corresponded with Euler from 1749 to 1749. The Euler-Barbut correspondence consists of 2 letters, none of which were written by Euler.
Bayer, Theophil Siegfried;1736;1;Corresponded with Euler in 1736. The Euler-Bayer correspondence consists of only one letter, written by Bayer.
Beausobre, Louis Isaac de;1765;1;Corresponded with Euler in 1765.The Euler-de Beausobre correspondence consists of only one letter, written by de Beausobre.
Beguelin, Nicolas;1755 - 1778;4;Corresponded with Euler from 1755 to 1778. The Euler-Beguelin correspondence consists of 4 letters, of which 1 was written by Euler.
Beister, L.L.;1750 - 1750;2;Corresponded with Euler from 1750 to 1750. The Euler-Beister correspondence consists of 2 letters, none of which were written by Euler.
Bergen, Karl August;1755 - 1758;4;Corresponded with Euler from 1755 to 1758. The Euler-Bergen correspondence consists of 4 letters, of which 1 was written by Euler.
Berlin Academy of Science,;1768;1;Corresponded with Euler in 1768. The Euler-Berlin Academy of Science correspondence consists of only one letter, written by Euler.
Bernhardt, Samuel Gottlob;1769 - 1769;2;Corresponded with Euler from 1769 to 1769. The Euler-Bernhardt correspondence consists of 2 letters, of which 1 was written by Euler.
Bernoulli, Daniel;1726 - 1768;100;Corresponded with Euler from 1726 to 1768. The Euler-Bernoulli correspondence consists of 100 letters, of which 19 were written by Euler.
Bernoulli, Johann (I);1727 - 1746;38;Corresponded with Euler from 1727 to 1746. The Euler-Bernoulli correspondence consists of 38 letters, of which 17 were written by Euler.
Bernoulli, Johann (II);1733 - 1759;3;Corresponded with Euler from 1733 to 1759. The Euler-Bernoulli correspondence consists of 3 letters, none of which were written by Euler.
Bernoulli, Johann (III);1764 - 1772;5;Corresponded with Euler from 1764 to 1772. The Euler-Bernoulli correspondence consists of 5 letters, of which 4 were written by Euler.
Bernoulli, Nicolaus (I);1742 - 1745;11;Corresponded with Euler from 1742 to 1745. The Euler-Bernoulli correspondence consists of 11 letters, of which 6 were written by Euler.
Bertrand, Louis;1752 - 1762;10;Corresponded with Euler from 1752 to 1762. The Euler-Bertrand correspondence consists of 10 letters, none of which were written by Euler.
Bestuzev-Rjumin, Michail Petrovich;1749;1;Corresponded with Euler in 1749. The Euler-Bestuzev-Rjumin correspondence consists of only one letter, written by Bestuzev-Rjumin.
von Biedersee,;1759 - 1763;11;Corresponded with Euler from 1759 to 1763. The Euler-von Biedersee correspondence consists of 11 letters, none of which were written by Euler.
Bilistein,;1766;1;Corresponded with Euler in 1766. The Euler-Bilistein correspondence consists of only one letter, written by Bilistein.
Blumentrost, Laurentius\;1726 - 1731;5;Corresponded with Euler from 1726 to 1731. The Euler-Blumentrost correspondence consists of 5 letters, of which 4 were written by Euler.
