;Enestrom Number;Fuss Index;Title;English Title;Authors;Original Language;Published as;Published Date;Written Date;Original Source Citation;Archive Notes;Content Summary;Opera Omnia Citation;Record Created;URLinfo;URLpdf
0;1;;Constructio linearum isochronarum in medio quocunque resistente;Construction of isochronous curves in a resistant medium;Leonhard Euler;Latin;Journal article;1726;1725;Acta Eruditorum, Volume 1726, pp. 361-363.;;;Series 2, Volume 6, pp.1-3.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/1;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1000&context=euler-works
1;2;500;Dissertatio physica de sono;Physical dissertation on sound;Leonhard Euler;Latin;Quarto book;1727;1727;Basel: E. and J. R. Thurnisiorum, Volume 1727, pp. 208-226.;Euler wrote this Habilitation thesis as part of his application to the Physics chair of the University of Basel in 1727 (it was customary to present a paper of one's research, to demonstrate that one might be of service to the institution). It was reprinted in 1751 in a collection of papers edited by Albrecht von Haller in Göttingen.;"Euler first explains his theory of what makes up the atmosphere; the basis of his theory lies in the theory of elasticity of the teacher he had before Johann Bernoulli. He also states (without proof) a formula for the speed of propagation and derives from it numerical values of the correct order of magnitude for air.";Series 3, Volume 1, pp.181-196.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/2;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1001&context=euler-works
2;3;;Methodus inveniendi traiectorias reciprocas algebraicas;On a method for algebraic reciprocal trajectories;Leonhard Euler;Latin;Journal article;1727;1727;Acta Eruditorum, Volume 1727, pp. 408-412.;;;Series 1, Volume 27, pp.1-5.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/3;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1002&context=euler-works
3;4;601;Meditationes super problemate nautico, quod illustrissima regia Parisiensis Academia Scientiarum proposuit;Thoughts on a nautical problem, proposed by the illustrious Royal Academy of Sciences in Paris;Leonhard Euler;Latin;Paris prize article;1728;1726;Pièce qui ont remporté le prix de l'académie royale des sciences, Volume 1727, pp. 1-48.;;"Euler uses mechanics to design ships. He adopts Newton's law of resistance (which says that the pressure exerted by a fluid acting against a plane surface is proportional to the square of the speed, neglecting back pressure) by interpreting it as a statement about differential elements of surface. He calls this assumption ""the common hypothesis"" and uses it to calculate the total resistance, via integration. In this way, he arrives at definite answers (often in elegant, explicit forms) that allow for both quantitative and qualitative conclusions that he develops and interprets clearly. (Based on Clifford Truesdell's An idiot's fugitive essays on science: methods, criticisms, training, circumstances.)";Series 2, Volume 20, pp.1-35.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/4;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1003&context=euler-works
4;5;387;Problematis traiectoriarum reciprocarum solutio;Solution to the problem of reciprocal trajectories;Leonhard Euler;Latin;Journal article;1729;1728;Commentarii academiae scientiarum Petropolitanae, Volume 2, pp. 90-111.;;This article contains Euler's first published use of complex numbers and a many-axis geometric construction. Euler also defines even functions f(x) as those for which f(x) = f(-x), perhaps the first use of this term.;Series 1, Volume 27, pp.6-23.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/5;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1004&context=euler-works
5;6;369;Dissertatio de novo quodam curvarum tautochronarum genere;Dissertation on a number of new types of tautochrone curves;Leonhard Euler;Latin;Journal article;1729;1728;Commentarii academiae scientiarum Petropolitanae, Volume 2, pp. 126-138.;;According to Eneström, Euler was inspired by a clock invented by D. Sully, and sought to construct curves that cause a pendulum to swing isochronally.;Series 2, Volume 6, pp.4-14.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/6;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1005&context=euler-works
6;7;734;Tentamen explicationis phaenomenorum aeris;Attempt at explanation of the phenomena of air;Leonhard Euler;Latin;Journal article;1729;1728;Commentarii academiae scientiarum Petropolitanae, Volume 2, pp. 347-368.;;E2;Series 2, Volume 31, pp.1-18.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/7;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1006&context=euler-works
7;8;363, 526;Solutio problematis de invenienda curva, quam format lamina utcunque elastica in singulis punctis a potentiis quibuscunque sollicitata;Solution to the problem of finding curves which is formed by an elastic strip when a force is applied to a single point;Leonhard Euler;Latin;Journal article;1732;1730;Commentarii academiae scientiarum Petropolitanae, Volume 3, pp. 70-84.;;;Series 2, Volume 10, pp.1-16.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/8;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1007&context=euler-works
8;9;403;De linea brevissima in superficie quacunque duo quaelibet puncta iungente;On the shortest line joining two points on a surface;Leonhard Euler;Latin;Journal article;1732;1730;Commentarii academiae scientiarum Petropolitanae, Volume 3, pp. 110-124.;;This article arose out of a homework assignment that Euler did for Johann Bernoulli. Bernoulli asked Euler to find the shortest line between two points on a surface. This work provided some of the first analytical foundations for the calculus of variations.;Series 1, Volume 25, pp.1-12.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/9;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1008&context=euler-works
9;10;256;Nova methodus innumerabiles aequationes differentiales secundi gradus reducendi ad aequationes differentiales primi gradus;A new method of reducing innumerable differential equations of the second degree to differential equations of the first degree;Leonhard Euler;Latin;Journal article;1732;1728;Commentarii academiae scientiarum Petropolitanae, Volume 3, pp. 124-137.;;;Series 1, Volume 22, pp.1-14.;2018-09-25;https://scholarlycommons.pacific.edu/euler-works/10;https://scholarlycommons.pacific.edu/cgi/viewcontent.cgi?article=1009&context=euler-works
