title;eng_title;id_index_num;fuss_index;language;written date;published_date;presented_date;pub_type;document_type;source_publication;source_vol;page_range;oo_series;oo_volnum;oo_fpage;oo_lpage;list_view_id_tag;label;calc_url
Constructio linearum isochronarum in medio quocunque resistente;Construction of isochronous curves in a resistant medium;1;;Latin;1725;1725;1725;journal;article;Acta Eruditorum;1726;361-363;2;6;1;3;E1;1;https://scholarlycommons.pacific.edu/euler-works/1
Dissertatio physica de sono;Physical dissertation on sound;2;500;Latin;1727;1727;1727;quarto;book;Basel: E. and J. R. Thurnisiorum;1727;208-226;3;1;181;196;E2;2;https://scholarlycommons.pacific.edu/euler-works/2
Methodus inveniendi traiectorias reciprocas algebraicas;On a method for algebraic reciprocal trajectories;3;;Latin;1727;1727;1727;journal;article;Acta Eruditorum;1727;408-412;1;27;1;5;E3;3;https://scholarlycommons.pacific.edu/euler-works/3
Meditationes super problemate nautico, quod illustrissima regia Parisiensis Academia Scientiarum proposuit;Thoughts on a nautical problem, proposed by the illustrious Royal Academy of Sciences in Paris;4;601;Latin;1726;1726;1726;Paris prize;article;Pièce qui ont remporté le prix de l'académie royale des sciences;1727;1-48;2;20;1;35;E4;4;https://scholarlycommons.pacific.edu/euler-works/4
Problematis traiectoriarum reciprocarum solutio;Solution to the problem of reciprocal trajectories;5;387;Latin;1728;1728;1728;journal;article;Commentarii academiae scientiarum Petropolitanae;2;90-111;1;27;6;23;E5;5;https://scholarlycommons.pacific.edu/euler-works/5
Dissertatio de novo quodam curvarum tautochronarum genere;Dissertation on a number of new types of tautochrone curves;6;369;Latin;1728;1728;1728;journal;article;Commentarii academiae scientiarum Petropolitanae;2;126-138;2;6;4;14;E6;6;https://scholarlycommons.pacific.edu/euler-works/6
Tentamen explicationis phaenomenorum aeris;Attempt at explanation of the phenomena of air;7;734;Latin;1728;1728;1728;journal;article;Commentarii academiae scientiarum Petropolitanae;2;347-368;2;31;1;18;E7;7;https://scholarlycommons.pacific.edu/euler-works/7
Solutio problematis de invenienda curva, quam format lamina utcunque elastica in singulis punctis a potentiis quibuscunque sollicitata;Solution to the problem of finding curves which is formed by an elastic strip when a force is applied to a single point;8;363, 526;Latin;1730;1730;1730;journal;article;Commentarii academiae scientiarum Petropolitanae;3;70-84;2;10;1;16;E8;8;https://scholarlycommons.pacific.edu/euler-works/8
De linea brevissima in superficie quacunque duo quaelibet puncta iungente;On the shortest line joining two points on a surface;9;403;Latin;1730;1730;1730;journal;article;Commentarii academiae scientiarum Petropolitanae;3;110-124;1;25;1;12;E9;9;https://scholarlycommons.pacific.edu/euler-works/9
Nova methodus innumerabiles aequationes differentiales secundi gradus reducendi ad aequationes differentiales primi gradus;A new method of reducing innumerable differential equations of the second degree to differential equations of the first degree;10;256;Latin;1728;1728;1728;journal;article;Commentarii academiae scientiarum Petropolitanae;3;124-137;1;22;1;14;E10;10;https://scholarlycommons.pacific.edu/euler-works/10
Constructio aequationum quarundam differentialium, quae indeterminatarum separationem non admittunt;Solution of certain differential equations which do not admit separation of variables;11;249;Latin;1733;1733;1733;journal;article;Nova acta eruditorum;1733;369-373;1;22;15;18;E11;11;https://scholarlycommons.pacific.edu/euler-works/11
De innumerabilibus curvis tautochronis in vacuo;On the innumerable tautochrone curves in a vacuum;12;370;Latin;1729;1729;1729;journal;article;Commentarii academiae scientiarum Petropolitanae;4;49-67;2;6;15;31;E12;12;https://scholarlycommons.pacific.edu/euler-works/12
Curva tautochrona in fluido resistentiam faciente secundum quadrata celeritatum;Tautochrone curves in a fluid making a second resistance proportional to the square of the speed;13;371;Latin;1729;1729;1729;journal;article;Commentarii academiae scientiarum Petropolitanae;4;67-89;2;6;32;50;E13;13;https://scholarlycommons.pacific.edu/euler-works/13
Solutio problematis astronomici ex datis tribus stellae fixae altitudinibus et temporum differentiis invenire elevationem poli et declinationem stellae. Auct. L. Eulero;Solution to problems of astronomy: given the altitudes and time differences for three fixed stars, to find the elevation of the pole and the declination of the star;14;635;Latin;1732;1732;1732;journal;article;Commentarii academiae scientiarum Petropolitanae;4;98-101;2;30;1;4;E14;14;https://scholarlycommons.pacific.edu/euler-works/14
Mechanica, volume 1;Mechanics, volume 1;15;441a;Latin;1734;1734;1734;quarto;book;St. Petersburg: Imperial Academy of Sciences;1;1-480;2;1;1;407;E15;15;https://scholarlycommons.pacific.edu/euler-works/15
Mechanica, volume 2;Mechanics, volume 2;16;441b;Latin;1736;1736;1736;quarto;book;St. Petersburg: Imperial Academy of Sciences;2;1-500;2;2;1;459;E16;16;https://scholarlycommons.pacific.edu/euler-works/16
Rechenkunst;The Art of Reckoning;17;1;German;1735;1735;1735;octavo;book;Anmerckungen uber die zeitungen;;1-277;3;2;1;304;E17;17;https://scholarlycommons.pacific.edu/euler-works/17
De Indorum anno solari astronomico;On the Indian solar year;18;;Latin;1738;1738;1738;other;article;Historia Regni Graecorum Bactriani, by T. S. Bayer;;201-213;2;30;5;12;E18;18;https://scholarlycommons.pacific.edu/euler-works/18
De progressionibus transcendentibus seu quarum termini generales algebraice dari nequeunt;On transcendental progressions, that is, those whose general terms cannot be given algebraically;19;120;Latin;1729;1729;1729;journal;article;Commentarii academiae scientiarum Petropolitanae;5;36-57;1;14;1;24;E19;19;https://scholarlycommons.pacific.edu/euler-works/19
De summatione innumerabilium progressionum;The summation of an innumerable progression;20;173;Latin;1731;1731;1731;journal;article;Commentarii academiae scientiarum Petropolitanae;5;91-105;1;14;25;41;E20;20;https://scholarlycommons.pacific.edu/euler-works/20
Quomodo data quacunque curva inveniri oporteat aliam quae cum data quodammodo iuncta ad tautochronismum producendum sit idonea;For some given curve, it is required to find another curve joined in a certain way with that given, which is suitable for producing a tautochrone curve;21;374;Latin;1732;1732;1732;journal;article;Commentarii academiae scientiarum Petropolitanae;5;143-159;2;6;51;64;E21;21;https://scholarlycommons.pacific.edu/euler-works/21
De communicatione motus in collisione corporum;On the communication of motion in collisions;22;546;Latin;1731;1731;1731;journal;article;Commentarii academiae scientiarum Petropolitanae;5;159-168;2;8;1;6;E22;22;https://scholarlycommons.pacific.edu/euler-works/22
De curvis rectificabilibus algebraicis atque traiectoriis reciprocis algebraicis;On rectifiable algebraic curves;23;388;Latin;1738;1738;1738;journal;article;Commentarii academiae scientiarum Petropolitanae;5;169-174;1;27;24;28;E23;23;https://scholarlycommons.pacific.edu/euler-works/23
Solutio singularis casus circa tautochronismum;Solution of a remarkable case concerning tautochronism;24;372;Latin;1731;1731;1731;journal;article;Commentarii academiae scientiarum Petropolitanae;6;28-36;2;6;65;74;E24;24;https://scholarlycommons.pacific.edu/euler-works/24
Methodus generalis summandi progressiones;A general method for summing series;25;171;Latin;1732;1732;1732;journal;article;Commentarii academiae scientiarum Petropolitanae;6;68-97;1;14;42;72;E25;25;https://scholarlycommons.pacific.edu/euler-works/25
